stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
RG285,RG285,,,-53.803708,-67.658647,,,0,,,0
RG413,RG413,,,-53.762323,-67.722446,,,0,,,0
RG501,RG501,,,-53.798123,-67.781394,,,0,,,0
RG243,RG243,,,-53.764565,-67.728041,,,0,,,0
RG387,RG387,,,-53.774216,-67.731019,,,0,,,0
RG025,RG025,,,-53.814304,-67.681478,,,0,,,0
RG041,RG041,,,-53.783945,-67.711369,,,0,,,0
RG102,RG102,,,-53.786734,-67.763924,,,0,,,0
RG279,RG279,,,-53.805001,-67.665482,,,0,,,0
RG323,RG323,,,-53.795695,-67.703714,,,0,,,0
RG374,RG374,,,-53.767257,-67.723804,,,0,,,0
RG031,RG031,,,-53.791535,-67.690957,,,0,,,0
RG052,RG052,,,-53.803455,-67.758361,,,0,,,0
RG117,RG117,,,-53.784255,-67.702325,,,0,,,0
RG207,RG207,,,-53.801113,-67.661431,,,0,,,0
RG255,RG255,,,-53.773246,-67.709169,,,0,,,0
RG002,RG002,,,-53.803109,-67.662526,,,0,,,0
RG005,RG005,,,-53.803087,-67.656389,,,0,,,0
RG341,RG341,,,-53.793588,-67.718176,,,0,,,0
RG104,RG104,,,-53.789668,-67.751237,,,0,,,0
RG232,RG232,,,-53.780991,-67.71116,,,0,,,0
RG119,RG119,,,-53.787992,-67.697791,,,0,,,0
RG273,RG273,,,-53.797511,-67.689037,,,0,,,0
RG358,RG358,,,-53.795125,-67.703022,,,0,,,0
RG053,RG053,,,-53.801858,-67.761505,,,0,,,0
RG013,RG013,,,-53.805891,-67.66134,,,0,,,0
RG218,RG218,,,-53.798946,-67.688152,,,0,,,0
RG404,RG404,,,-53.750519,-67.734082,,,0,,,0
RG029,RG029,,,-53.797647,-67.689133,,,0,,,0
RG054,RG054,,,-53.800331,-67.759622,,,0,,,0
RG258,RG258,,,-53.780766,-67.71183,,,0,,,0
RG272,RG272,,,-53.797571,-67.687143,,,0,,,0
RG327,RG327,,,-53.791497,-67.714936,,,0,,,0
RG142,RG142,,,-53.807791,-67.654366,,,0,,,0
RG275,RG275,,,-53.806005,-67.679713,,,0,,,0
RG280,RG280,,,-53.80297,-67.664199,,,0,,,0
RG411,RG411,,,-53.75057,-67.734237,,,0,,,0
RG047,RG047,,,-53.799985,-67.745272,,,0,,,0
RG245,RG245,,,-53.762279,-67.727993,,,0,,,0
RG270,RG270,,,-53.795249,-67.687706,,,0,,,0
RG334,RG334,,,-53.794102,-67.726346,,,0,,,0
RG213,RG213,,,-53.805276,-67.670873,,,0,,,0
RG282,RG282,,,-53.799903,-67.662038,,,0,,,0
RG412,RG412,,,-53.760608,-67.721905,,,0,,,0
RG032,RG032,,,-53.789542,-67.694133,,,0,,,0
RG143,RG143,,,-53.80534,-67.652307,,,0,,,0
RG211,RG211,,,-53.804772,-67.665927,,,0,,,0
RG283,RG283,,,-53.800334,-67.659661,,,0,,,0
RG326,RG326,,,-53.793075,-67.71183,,,0,,,0
RG379,RG379,,,-53.769451,-67.733518,,,0,,,0
RG035,RG035,,,-53.785079,-67.700415,,,0,,,0
RG271,RG271,,,-53.796313,-67.685523,,,0,,,0
RG400,RG400,,,-53.765203,-67.723138,,,0,,,0
RG502,RG502,,,-53.797666,-67.783846,,,0,,,0
RG020,RG020,,,-53.812609,-67.675148,,,0,,,0
RG131,RG131,,,-53.813369,-67.674623,,,0,,,0
RG233,RG233,,,-53.766506,-67.721084,,,0,,,0
RG286,RG286,,,-53.803521,-67.660096,,,0,,,0
RG304,RG304,,,-53.768868,-67.735611,,,0,,,0
RG011,RG011,,,-53.807791,-67.654452,,,0,,,0
RG123,RG123,,,-53.795686,-67.688999,,,0,,,0
RG126,RG126,,,-53.81132,-67.683495,,,0,,,0
RG136,RG136,,,-53.810896,-67.664586,,,0,,,0
RG373,RG373,,,-53.769248,-67.724426,,,0,,,0
RG023,RG023,,,-53.815691,-67.675186,,,0,,,0
RG217,RG217,,,-53.808206,-67.684665,,,0,,,0
RG256,RG256,,,-53.774083,-67.710387,,,0,,,0
RG108,RG108,,,-53.789339,-67.738405,,,0,,,0
